Track Name,Album Name,Lyrics,No_of_Characters,No_of_Words
 Beaches by Lana Del Rey,Lust for Life by Lana Del Rey,"i don't belong in the world, that's what it is something separates me from other people everywhere i turn, there's something blocking my escape  it took thirteen beaches to find one empty but finally, it's mine with drippin' peaches, i'm cameraready almost all the time  but i still get lonely and, baby, only then do i let myself recline can i let go, and let your memory dance in the ballroom of my mind across the county line  it hurts to love you, but i still love you it's just the way i feel and i'd be lyin' if i kept hidin' the fact that i can't deal and that i've been dyin' for somethin' real that i've been dyin' for somethin' real  it took thirteen beaches to find one empty but finally, i'm fine past ventura and lenses plenty in the white sunshine  but you still can find me, if you ask nicely underneath the pines with the daisies, feelin' hazy in the ballroom of my mind across the county line  it hurts to love you, but i still love you it's just the way i feel and i'd be lyin' if i kept hidin' the fact that i can't deal and that i've been dyin' for somethin' real that i've been dyin' for somethin' real  it hurts to love you, but i still love you it's just the way i feel and i'd be lyin' if i kept hidin' the fact that i can't deal the fact that i can't deal",1281,302
 Liner Notes by Taylor Swift, by Taylor Swift,"i was born in reading, pennsylvania on december ,  in the world we live in, much is said about when we are born and when we die our birthday is celebrated every year to commemorate the very instant we came into the world and a funeral is held to mark the day we leave it but lately i've been wondering what can be said of all the moments in between our birth and our death the moments when we are reborn the debate over whether people change is an interesting one for me to observe because it seems like all i ever do is change all i ever do is learn from my mistakes so i don't make the same ones again then i make new ones i know people can change because it happens to me little by little every day every day i wake up as someone slightly new isn't it wild and intriguing and beautiful to think that every day we are new for the last few years, i've woken up every day not wanting, but needing to write a new style of music i needed to change the way i told my stories and the way they sounded i listened to a lot of music from the decade in which i was born and i listened to my intuition that it was a good thing to follow this gut feeling i was also writing a different storyline than i'd ever told you before i wrote about moving to the loudest and brightest city in the world, the city i had always been overwhelmed by until now i think you have to know who you are and what you want in order to take on new york and all its blaring truth i wrote about the thrill i got when i finally learned that love, to some extent, is just a game of cat and mouse i wrote about looking back on a lost love and understanding that nothing good comes without loss and hardship and constant struggle there is no riding off into the sunset, like i used to imagine we are never out of the woods, because we are always going to be fighting for something i wrote about love that comes back to you just when you thought it was lost forever, and how some feelings never go out of style i wrote about an important lesson i learned recently that people can say whatever they want about me, but they can't make me lose my mind i've learned how to shake things off i've told you my stories for years now some have been about coming of age some have been about coming undone this is a story about coming into your own, and as a result coming alive i hope you know that you've given me the courage to change i hope you know that who you are is who you choose to be, and that whispers behind your back don't define you you are the only person who gets to decide what you will be remembered for from the girl who said she would never cut her hair or move to new york or find happiness in a world where she is not in love love, taylor welcome to new york hidden message: we begin our story in new york  blank space hidden message: there once was a girl known by everyone and no one  style hidden message: her heart belonged to someone who couldn’t stay  out of the woods hidden message: they loved each other recklessly  all you had to do was stay hidden message: they paid the price  shake it off hidden message: she danced to forget him  i wish you would hidden message: he drove past her street each night  bad blood hidden message: she made friends and enemies  wildest dreams hidden message: he only saw her in his dreams  how you get the girl hidden message: then one day he came back  this love hidden message: timing is a funny thing  i know places hidden message: and everyone was watching  clean hidden message: she lost him but she found herself and somehow that was everything deluxe  wonderland  you are in love  new romantics  i know places pianovocal voice memo  i wish you would trackvocal voice memo  blank space guitarvocal voice memo",3798,817
 by Lana Del Rey,Honeymoon by Lana Del Rey,"there's only  hours in a day and half as many ways for you to lie to me, my little love there's only  hours in a day and half of those, you lay awake with thoughts of murder and carnage  if you lie down with dogs, then you'll get fleas be careful of the company you keep  there's only  hours and that's not enough to lie like you lie or love like you love  hmm, hmm hmm, hmm  there's only  hours in a day and half of those you lay between the sheets with me, my lying love there's only  hours, so you'd say for most of them you pay for all the things they paid you for, my love  if you lie down with dogs, then you'll get fleas be careful of the ones you choose to leave  there's only  hours and that's not enough to lie like you lie or love like you love  hmm, hmm hmm, hmm  give me your heat give me your diamonds you hit that street and my crooked words you count to three while they're all dying you're hard to reach you're cold to touch  ladadadadada ladadadadada ladadadidadada",999,219
 by Taylor Swift,Red by Taylor Swift,"it feels like a perfect night to dress up like hipsters and make fun of our exes uhuh, uhuh it feels like a perfect night for breakfast at midnight to fall in love with strangers uhuh, uhuh  yeah we're happy, free, confused and lonely at the same time it's miserable and magical, oh, yeah tonight's the night when we forget about the deadlines it's time, ohoh  i don't know about you but i'm feeling twentytwo everything will be alright if you keep me next to you you don't know about me but i'll bet you want to everything will be alright if we just keep dancing like we're twentytwo, twentytwo  it seems like one of those nights this place is too crowded too many cool kids uhuh, uhuh who's taylor swift, anyway ew it seems like one of those nights we ditch the whole scene and end up dreamin' instead of sleeping  yeah we're happy, free, confused and lonely in the best way it's miserable and magical, oh, yeah tonight's the night when we forget about the heartbreaks it's time, ohoh  hey i don't know about you but i'm feeling twentytwo everything will be alright if ooh you keep me next to you you don't know about me but i'll bet you want to everything will be alright if alright we just keep dancing like we're twentytwo ohohohoh, oh, twentytwo i don't know about you twentytwo, twentytwo ooh it feels like one of those nights we ditch the whole scene it feels like one of those nights we won't be sleepin' it feels like one of those nights you look like bad news i gotta have you i gotta have you you woah, ooh, yeah, ehyeah  hey i don't know about you i don't know about you but i'm feeling twentytwo everything will be alright if ooh you keep me next to you you don't know about me you don't know about me but i'll bet you want to everything will be alright if we just keep dancing like we're dancing like we're twentytwo twentytwo woahoh, twentytwo dancing like twentytwo yeah, yeah, twentytwo yeah, yeah, yeah  it feels like one of those nights twentytwo we ditch the whole scene it feels like one of those nights twentytwo we won't be sleeping it feels like one of those nights twentytwo you look like bad news i gotta have you i gotta have you",2187,464
"""Heroes"" by David Bowie","""Heroes"" by David Bowie","i, i will be king and you, you will be queen  though nothing will drive them away we can beat them, just for one day we can be heroes, just for one day  and you, you can be mean and i, i'll drink all the time 'cause we're lovers, and that is a fact yes, we're lovers, and that is that  though nothing will keep us together we could steal time, just for one day we can be heroes, forever and ever what d'you say i, i wish you could swim like the dolphins, like dolphins can swim  though nothing, nothing will keep us together we can beat them forever and ever oh, we can be heroes, just for one day  i, i will be king and you, you will be queen  though nothing will drive them away we can be heroes, just for one day we can be us, just for one day i, i can remember i remember standing by the wall by the wall and the guns shot above our heads over our heads and we kissed as though nothing could fall nothing could fall  and the shame was on the other side oh, we can beat them forever and ever then we can be heroes, just for one day  we can be heroes we can be heroes we can be heroes, just for one day we can be heroes we are nothing, and nothing will help us maybe we're lying, then you better not stay but we could be safer, just for one day ohohohoh, ohohohoh, just for one day",1297,305
'Til Kingdom Come by Coldplay,X&Y by Coldplay,"one, two  steal my heart and hold my tongue i feel my time, my time has come let me in, unlock the door i've never felt this way before  and the wheels just keep on turning the drummer begins to drum i don't know which way i'm going i don't know which way i've come  hold my head inside your hands i need someone who understands i need someone, someone who hears for you, i've waited all these years  for you, i'd wait till kingdom come until my day, my day is done and say you'll come and set me free just say you'll wait, you'll wait for me      in your tears and in your blood in your fire and in your flood i hear you laugh, i heard you sing i wouldn't change a single thing  and the wheels just keep on turning the drummers begin to drum i don't know which way i'm going i don't know what i've become  for you, i'd wait till kingdom come until my days, my days are done say you'll come and set me free just say you'll wait, you'll wait for me just say you'll wait, you'll wait for me",990,235
Nice Dream by Radiohead,The Bends by Radiohead,they love me like i was a brother they protect me listen to me they dug me my very own garden gave me sunshine made me happy  nice dream nice dream nice dream  i call up my friend the good angel but she's out with her answerphone she said that she'd love to come help but the sea would electrocute us all  nice dream nice dream nice dream nice dream nice dream nice dream nice dream if you think that you're strong enough nice dream if you think you belong enough nice dream if you think that you're strong enough nice dream if you think you belong enough  now come home now come home now come home now come home  nice dream nice dream nice dream nice dream,657,132
15 Step by Radiohead,In Rainbows by Radiohead,how come i end up where i started how come i end up where i went wrong won't take my eyes off the ball again you reel me out then you cut the string how come i end up where i started how come i end up where i went wrong won't take my eyes off the ball again first you reel me out and then you cut the string  you used to be alright what happened did the cat get your tongue did your string come undone one by one one by one it comes to us all it's as soft as your pillow  you used to be alright what happened et cetera et cetera fads for whatever fifteen steps then a sheer drop  how come i end up where i started how come i end up where i went wrong won't take my eyes off the ball again you reel me out then you cut the string,728,163
18 by One Direction,FOUR by One Direction,"i got a heart and i got a soul believe me, i will use them both we made a start, be it a false one, i know baby, i don't want to feel alone  so kiss me where i lay down my hands pressed to your cheeks a long way from the playground  i have loved you since we were eighteen long before we both thought the same thing to be loved and to be in love all i can do is say that these arms were made for holdin' you, oh i wanna love like you made me feel when we were eighteen  we took a chance, god knows we've tried yet all along, i knew we'd be fine so pour me a drink, oh, love and let's split the night wide open and we'll see everything we can living love in slow motion, motion, motion  so kiss me where i lay down oohooh my hands pressed to your cheeks oohooh a long way from the playground oohooh  i have loved you since we were eighteen long before we both thought the same thing to be loved and to be in love and all i can do is say that these arms were made for holdin' you, oh and i wanna love like you made me feel when we were eighteen  when we were eighteen oh, lord when we were eighteen  kiss me where i lay down my hands pressed to your cheeks a long way from the playground  i have loved you since we were eighteen long before we both thought the same thing to be loved and to be in love and all i can do is say that these arms were made for holdin' you, oh and i wanna love like you made me feel when we were eighteen eighteen  i wanna love like you made me feel when we were eighteen eighteen, yeah i wanna love like you made me feel when we were eighteen140",1590,368
2  2 = 5 by Radiohead,Hail to the Thief by Radiohead,we're on that's a nice way to start jonny  are you such a dreamer to put the world to rights i'll stay home forever where two and two always makes a five  i'll lay down the tracks sandbag and hide january has april showers and two and two always makes a five  it's the devil's way now there is no way out you can scream and you can shout it is too late now because  you have not been paying attention paying attention paying attention paying attention you have not been paying attention paying attention paying attention paying attention you have not been paying attention paying attention paying attention paying attention you have not been paying attention paying attention paying attention paying attention  i try to sing along but i get it all wrong 'cause i'm not 'cause i'm not i swat 'em like flies but like flies the bugs keep coming back not but i'm not all hail to the thief all hail to the thief but i'm not but i'm not but i'm not but i'm not don't question my authority or put me in a box 'cause i'm not 'cause i'm not oh go and tell the king that the sky is falling in but it's not but it's not but it's not maybe not maybe not,1141,239
